threshold,FAR,TAR
-1.0,1.0,1.0
-0.99,1.0,1.0
-0.98,1.0,1.0
-0.97,1.0,1.0
-0.96000004,1.0,1.0
-0.95000005,1.0,1.0
-0.94000006,1.0,1.0
-0.93000007,1.0,1.0
-0.9200001,1.0,1.0
-0.9100001,1.0,1.0
-0.9000001,1.0,1.0
-0.8900001,1.0,1.0
-0.8800001,1.0,1.0
-0.8700001,1.0,1.0
-0.86000013,1.0,1.0
-0.85000014,1.0,1.0
-0.84000015,1.0,1.0
-0.83000016,1.0,1.0
-0.8200002,1.0,1.0
-0.8100002,1.0,1.0
-0.8000002,1.0,1.0
-0.7900002,1.0,1.0
-0.7800002,1.0,1.0
-0.7700002,1.0,1.0
-0.7600002,1.0,1.0
-0.75000024,1.0,1.0
-0.74000025,1.0,1.0
-0.73000026,1.0,1.0
-0.72000027,1.0,1.0
-0.7100003,1.0,1.0
-0.7000003,1.0,1.0
-0.6900003,1.0,1.0
-0.6800003,1.0,1.0
-0.6700003,1.0,1.0
-0.6600003,1.0,1.0
-0.65000033,1.0,1.0
-0.64000034,1.0,1.0
-0.63000035,1.0,1.0
-0.62000036,1.0,1.0
-0.6100004,1.0,1.0
-0.6000004,1.0,1.0
-0.5900004,1.0,1.0
-0.5800004,1.0,1.0
-0.5700004,1.0,1.0
-0.5600004,1.0,1.0
-0.5500004,1.0,1.0
-0.54000044,1.0,1.0
-0.53000045,1.0,1.0
-0.52000046,1.0,1.0
-0.51000047,1.0,1.0
-0.5000005,1.0,1.0
-0.4900005,1.0,1.0
-0.4800005,1.0,1.0
-0.4700005,1.0,1.0
-0.46000051,1.0,1.0
-0.45000052,1.0,1.0
-0.44000053,1.0,1.0
-0.43000054,1.0,1.0
-0.42000055,1.0,1.0
-0.41000056,0.9996663329996663,1.0
-0.40000057,0.9996663329996663,1.0
-0.39000058,0.9996663329996663,1.0
-0.3800006,0.9986653319986654,1.0
-0.3700006,0.9986653319986654,1.0
-0.3600006,0.9976643309976644,1.0
-0.35000062,0.9956623289956623,1.0
-0.34000063,0.994994994994995,1.0
-0.33000064,0.991991991991992,1.0
-0.32000065,0.98998998998999,1.0
-0.31000066,0.9876543209876543,0.9996663329996663
-0.30000067,0.9856523189856523,0.9996663329996663
-0.29000068,0.9826493159826493,0.9996663329996663
-0.2800007,0.9803136469803136,0.9996663329996663
-0.2700007,0.9763096429763096,0.9993326659993327
-0.2600007,0.9716383049716383,0.9993326659993327
-0.25000072,0.9666332999666333,0.998998998998999
-0.24000071,0.960960960960961,0.998998998998999
-0.2300007,0.9519519519519519,0.9986653319986654
