t_rel_s,label,rms_m
93.484,screen,0.000414
93.526,screen,0.000417
93.564,screen,0.000425
93.605,screen,0.000427
93.644,screen,0.000415
93.688,screen,0.000389
93.726,screen,0.000400
93.766,screen,0.000412
93.805,screen,0.000407
93.846,screen,0.000430
93.886,screen,0.000471
93.926,screen,0.000437
93.967,screen,0.000491
94.008,screen,0.000463
94.046,screen,0.000459
94.086,screen,0.000450
94.127,screen,0.000499
94.169,screen,0.000524
94.210,screen,0.000521
94.248,screen,0.000495
94.286,screen,0.000474
94.331,screen,0.000465
94.368,screen,0.000467
94.408,screen,0.000463
94.449,screen,0.000490
94.488,screen,0.000484
94.530,screen,0.000469
94.569,screen,0.000462
94.609,screen,0.000456
94.649,screen,0.000451
94.688,screen,0.000432
94.733,screen,0.000428
94.767,screen,0.000426
94.811,screen,0.000425
94.848,screen,0.000440
94.888,screen,0.000470
94.929,screen,0.000485
94.970,screen,0.000511
95.010,screen,0.000511
95.050,screen,0.000508
95.091,screen,0.000573
95.130,screen,0.000644
95.170,screen,0.000638
95.211,screen,0.000649
95.250,screen,0.000656
95.292,screen,0.000640
95.332,screen,0.000620
95.369,screen,0.000616
95.411,screen,0.000604
95.453,screen,0.000590
95.495,screen,0.000583
95.535,screen,0.000571
95.572,screen,0.000559
95.613,screen,0.000519
95.653,screen,0.000513
95.693,screen,0.000503
95.734,screen,0.000466
95.774,screen,0.000477
95.816,screen,0.000483
95.853,screen,0.000477
95.892,screen,0.000479
95.933,screen,0.000475
95.975,screen,0.000478
96.014,screen,0.000471
96.056,screen,0.000479
96.093,screen,0.000470
96.135,screen,0.000462
96.174,screen,0.000473
96.215,screen,0.000465
96.254,screen,0.000460
96.294,screen,0.000515
96.333,screen,0.000662
96.378,screen,0.000687
96.414,screen,0.000742
96.459,screen,0.000786
96.494,screen,0.000890
96.534,screen,0.001000
96.575,screen,0.001001
96.615,screen,0.000975
96.655,screen,0.000846
96.696,screen,0.000776
96.735,screen,0.000811
96.776,screen,0.000682
96.816,screen,0.000648
96.857,screen,0.000670
96.895,screen,0.000793
96.935,screen,0.000738
96.979,screen,0.000727
97.016,screen,0.000693
97.060,screen,0.000754
97.096,screen,0.001049
97.135,screen,0.001118
97.178,screen,0.001515
97.216,screen,0.001693
97.259,screen,0.001447
97.298,screen,0.001526
97.338,screen,0.001284
97.379,screen,0.001260
97.419,screen,0.001117
97.461,screen,0.000928
97.500,screen,0.000862
97.539,screen,0.000760
97.579,screen,0.000705
97.620,screen,0.000740
97.660,screen,0.000731
97.697,screen,0.000670
97.746,screen,0.000640
97.780,screen,0.000720
97.822,screen,0.000665
97.864,screen,0.000688
97.901,screen,0.000665
97.945,screen,0.000726
97.981,screen,0.000689
98.021,screen,0.000562
98.063,screen,0.000624
98.099,screen,0.000635
98.144,screen,0.000544
98.177,screen,0.000612
98.219,screen,0.000733
98.262,screen,0.000697
98.301,screen,0.000605
98.346,screen,0.000630
98.381,screen,0.000566
98.425,screen,0.000552
98.462,screen,0.000512
98.505,screen,0.000574
98.546,screen,0.000668
98.583,screen,0.000650
98.627,screen,0.000700
98.663,screen,0.000701
98.706,screen,0.000681
98.746,screen,0.000680
98.784,screen,0.000723
98.828,screen,0.000636
98.864,screen,0.000644
98.909,screen,0.000625
98.948,screen,0.000695
98.985,screen,0.000769
99.029,screen,0.000721
99.064,screen,0.000662
99.110,screen,0.000600
99.146,screen,0.000535
99.189,screen,0.000502
99.228,screen,0.000540
99.265,screen,0.000523
99.311,screen,0.000580
99.347,screen,0.000561
99.392,screen,0.000533
99.428,screen,0.000510
99.467,screen,0.000529
99.512,screen,0.000528
99.546,screen,0.000544
99.585,screen,0.000534
99.626,screen,0.000640
99.868,screen,0.000682
99.907,screen,0.000628
99.949,screen,0.000637
99.996,screen,0.000721
100.030,screen,0.000746
100.067,screen,0.000764
100.829,screen,0.000634
100.866,screen,0.000608
100.910,screen,0.000611
100.946,screen,0.000647
100.993,screen,0.000607
101.029,screen,0.000672
101.077,screen,0.000616
101.112,screen,0.000556
101.156,screen,0.000556
101.198,screen,0.000563
101.235,screen,0.000531
101.279,screen,0.000533
101.313,screen,0.000522
101.356,screen,0.000483
101.398,screen,0.000494
101.434,screen,0.000491
101.478,screen,0.000540
101.514,screen,0.000705
101.557,screen,0.000829
101.596,screen,0.000876
101.634,screen,0.000947
101.678,screen,0.000971
101.715,screen,0.001040
101.756,screen,0.001030
101.797,screen,0.001013
101.833,screen,0.000913
101.876,screen,0.000891
101.912,screen,0.000787
101.953,screen,0.000733
101.995,screen,0.000663
102.032,screen,0.000682
102.078,screen,0.000650
102.115,screen,0.000564
102.151,screen,0.000546
102.194,screen,0.000581
102.233,screen,0.000633
102.278,screen,0.000588
102.312,screen,0.000586
102.359,screen,0.000566
102.396,screen,0.000532
102.439,screen,0.000503
102.480,screen,0.000506
102.518,screen,0.000523
102.560,screen,0.000516
102.598,screen,0.000508
102.642,screen,0.000509
102.678,screen,0.000499
102.718,screen,0.000547
102.761,screen,0.000485
102.799,screen,0.000480
102.844,screen,0.000480
102.880,screen,0.000438
102.917,screen,0.000473
102.960,screen,0.000479
102.996,screen,0.000465
103.035,screen,0.000538
103.078,screen,0.000611
103.118,screen,0.000609
103.164,screen,0.000637
103.200,screen,0.000579
103.243,screen,0.000531
103.281,screen,0.000511
103.324,screen,0.000552
103.361,screen,0.000635
103.397,screen,0.000687
103.444,screen,0.000787
103.481,screen,0.000776
103.522,screen,0.000788
103.561,screen,0.000783
103.600,screen,0.000734
103.646,screen,0.000767
103.679,screen,0.000754
103.718,screen,0.000753
103.760,screen,0.000762
103.797,screen,0.000766
103.843,screen,0.000686
103.879,screen,0.000707
103.928,screen,0.000607
103.963,screen,0.000603
104.008,screen,0.000540
104.046,screen,0.000520
104.084,screen,0.000585
104.129,screen,0.000532
104.163,screen,0.000511
104.203,screen,0.000510
104.249,screen,0.000581
104.285,screen,0.000575
104.327,screen,0.000519
104.364,screen,0.000502
104.410,screen,0.000460
104.447,screen,0.000440
104.486,screen,0.000478
104.529,screen,0.000462
104.566,screen,0.000471
104.609,screen,0.000457
104.646,screen,0.000419
104.686,screen,0.000427
104.729,screen,0.000433
104.766,screen,0.000477
104.810,screen,0.000456
104.847,screen,0.000491
104.889,screen,0.000447
104.928,screen,0.000550
104.966,screen,0.000588
105.012,screen,0.000611
105.047,screen,0.000557
105.088,screen,0.000532
105.129,screen,0.000533
105.168,screen,0.000530
105.209,screen,0.000485
105.250,screen,0.000517
105.291,screen,0.000561
105.328,screen,0.000559
105.369,screen,0.000642
105.409,screen,0.000767
105.449,screen,0.000884
105.488,screen,0.000907
105.529,screen,0.000971
105.568,screen,0.000997
105.610,screen,0.000975
105.650,screen,0.000961
105.691,screen,0.000927
105.733,screen,0.000911
105.770,screen,0.000896
105.813,screen,0.000846
105.850,screen,0.000788
105.893,screen,0.000797
105.933,screen,0.000748
105.975,screen,0.000724
106.012,screen,0.000692
106.051,screen,0.000639
106.093,screen,0.000642
106.134,screen,0.000642
106.174,screen,0.000605
106.215,screen,0.000571
106.254,screen,0.000549
106.297,screen,0.000527
106.333,screen,0.000530
106.375,screen,0.000520
106.415,screen,0.000516
106.455,screen,0.000751
106.499,screen,0.000532
106.533,screen,0.000540
106.577,screen,0.000540
106.614,screen,0.000768
106.657,screen,0.000615
106.697,screen,0.000627
106.735,screen,0.000597
106.779,screen,0.000615
106.813,screen,0.000619
106.854,screen,0.000600
106.895,screen,0.000547
106.944,screen,0.000509
106.977,screen,0.000493
107.016,screen,0.000482
107.059,screen,0.000475
107.096,screen,0.000496
107.136,screen,0.000516
107.178,screen,0.000457
107.216,screen,0.000474
107.263,screen,0.000479
107.297,screen,0.000476
107.336,screen,0.000461
107.379,screen,0.000764
107.416,screen,0.000910
107.460,screen,0.000961
107.496,screen,0.000932
107.542,screen,0.000960
107.581,screen,0.001162
107.618,screen,0.001368
107.660,screen,0.001684
107.698,screen,0.001883
107.738,screen,0.002044
107.778,screen,0.002185
107.824,screen,0.002363
107.861,screen,0.002280
107.901,screen,0.002186
107.944,screen,0.002092
107.982,screen,0.001932
108.020,screen,0.001805
108.063,screen,0.001375
108.100,screen,0.001167
108.144,screen,0.001118
108.181,screen,0.001065
108.220,screen,0.000971
108.262,screen,0.000860
108.301,screen,0.000745
108.344,screen,0.000719
108.382,screen,0.000850
108.424,screen,0.001053
108.465,screen,0.001175
108.502,screen,0.001196
108.546,screen,0.001123
108.585,screen,0.001018
108.626,screen,0.000869
108.665,screen,0.000797
108.701,screen,0.000744
108.746,screen,0.000661
108.783,screen,0.000802
108.828,screen,0.000760
108.864,screen,0.000767
108.907,screen,0.000737
108.946,screen,0.000739
108.984,screen,0.000731
109.027,screen,0.000716
109.065,screen,0.000646
109.107,screen,0.000621
109.146,screen,0.000640
109.184,screen,0.000641
109.229,screen,0.000639
109.265,screen,0.000638
109.309,screen,0.000660
109.346,screen,0.000644
109.383,screen,0.000717
109.425,screen,0.000666
109.463,screen,0.000770
109.504,screen,0.000768
109.548,screen,0.000699
109.585,screen,0.000709
109.626,screen,0.000673
109.667,screen,0.000708
109.707,screen,0.000689
109.744,screen,0.000614
109.780,screen,0.000612
109.826,screen,0.000634
109.865,screen,0.000696
109.903,screen,0.000644
109.946,screen,0.000721
109.986,screen,0.000603
110.031,screen,0.000568
110.068,screen,0.000512
110.113,screen,0.000508
110.147,screen,0.000501
110.193,screen,0.000512
110.231,screen,0.000504
110.268,screen,0.000503
110.313,screen,0.000529
110.347,screen,0.000518
110.395,screen,0.000525
110.431,screen,0.000518
110.473,screen,0.000524
110.512,screen,0.000554
110.550,screen,0.000559
110.594,screen,0.000541
110.631,screen,0.000520
110.672,screen,0.000519
110.712,screen,0.000525
110.750,screen,0.000498
110.796,screen,0.000521
110.832,screen,0.000516
110.877,screen,0.000514
110.912,screen,0.000518
110.952,screen,0.000500
110.997,screen,0.000522
111.032,screen,0.000513
111.074,screen,0.000497
111.113,screen,0.000554
111.151,screen,0.000573
111.197,screen,0.000537
111.235,screen,0.000550
111.276,screen,0.000561
111.313,screen,0.000614
111.354,screen,0.000862
111.396,screen,0.000932
111.431,screen,0.000834
111.478,screen,0.000993
111.514,screen,0.001092
111.555,screen,0.001007
111.595,screen,0.000895
111.631,screen,0.000918
111.674,screen,0.001073
111.707,screen,0.001296
111.742,screen,0.001137
111.773,screen,0.001116
111.807,screen,0.000970
111.840,screen,0.000819
111.874,screen,0.000724
111.908,screen,0.000695
111.940,screen,0.000733
111.975,screen,0.000737
112.008,screen,0.000798
112.042,screen,0.000743
112.074,screen,0.000729
112.107,screen,0.000680
112.141,screen,0.000633
112.174,screen,0.000611
112.210,screen,0.000601
112.245,screen,0.000595
112.276,screen,0.000590
112.308,screen,0.000594
112.340,screen,0.000615
112.377,screen,0.000641
112.408,screen,0.000639
112.441,screen,0.000636
112.473,screen,0.000602
112.506,screen,0.000634
112.534,screen,0.000678
112.573,screen,0.000627
112.603,screen,0.000752
112.639,screen,0.000690
112.669,screen,0.000628
112.705,screen,0.000672
112.744,screen,0.000740
112.773,screen,0.000762
112.808,screen,0.000664
112.841,screen,0.000648
112.873,screen,0.000671
112.910,screen,0.000710
112.941,screen,0.000740
112.974,screen,0.000821
113.008,screen,0.000747
113.041,screen,0.000775
113.074,screen,0.000801
113.106,screen,0.000741
113.143,screen,0.000741
113.175,screen,0.000842
113.207,screen,0.000737
113.240,screen,0.000746
113.272,screen,0.000685
113.304,screen,0.000777
113.336,screen,0.000940
113.369,screen,0.001182
113.407,screen,0.001335
113.436,screen,0.001479
113.472,screen,0.001616
113.504,screen,0.001709
113.542,screen,0.001800
113.576,screen,0.001740
113.607,screen,0.001668
113.641,screen,0.001594
113.675,screen,0.001546
113.708,screen,0.001461
113.745,screen,0.001419
113.774,screen,0.001385
113.808,screen,0.001394
113.841,screen,0.001319
113.872,screen,0.001293
113.906,screen,0.001228
113.941,screen,0.001098
113.974,screen,0.000938
114.008,screen,0.000812
114.040,screen,0.000733
114.075,screen,0.000679
114.108,screen,0.000719
114.139,screen,0.000706
114.174,screen,0.000694
114.205,screen,0.000715
114.239,screen,0.000666
114.274,screen,0.000782
114.308,screen,0.000732
114.340,screen,0.000712
114.373,screen,0.000683
114.408,screen,0.000662
114.441,screen,0.000659
114.475,screen,0.000692
114.507,screen,0.000645
114.545,screen,0.000637
114.572,screen,0.000595
114.607,screen,0.000593
114.641,screen,0.000595
114.676,screen,0.000614
114.707,screen,0.000606
114.742,screen,0.000611
114.774,screen,0.000603
114.810,screen,0.000634
114.840,screen,0.000668
114.875,screen,0.000685
114.906,screen,0.000699
114.940,screen,0.000751
114.975,screen,0.000818
115.008,screen,0.000728
115.041,screen,0.000681
115.142,screen,0.000592
115.909,screen,0.000614
115.952,screen,0.000661
115.989,screen,0.000621
116.032,screen,0.000583
116.074,screen,0.000583
116.111,screen,0.000605
116.152,screen,0.000598
116.192,screen,0.000598
116.234,screen,0.000562
116.273,screen,0.000520
116.312,screen,0.000503
116.353,screen,0.000481
116.393,screen,0.000501
116.432,screen,0.000492
116.475,screen,0.000497
116.511,screen,0.000511
116.553,screen,0.000496
116.595,screen,0.000493
116.635,screen,0.000498
116.676,screen,0.000504
116.712,screen,0.000511
116.755,screen,0.000532
116.798,screen,0.000543
116.835,screen,0.000525
116.874,screen,0.000520
116.914,screen,0.000520
116.956,screen,0.000515
116.995,screen,0.000503
117.034,screen,0.000548
117.076,screen,0.000498
117.115,screen,0.000526
117.158,screen,0.000519
117.196,screen,0.000525
117.237,screen,0.000522
117.278,screen,0.000498
117.317,screen,0.000489
117.356,screen,0.000470
117.396,screen,0.000474
117.438,screen,0.000472
117.478,screen,0.000473
117.516,screen,0.000485
117.554,screen,0.000458
117.596,screen,0.000543
117.636,screen,0.000629
117.679,screen,0.000629
118.678,screen,0.000592
118.714,screen,0.000638
118.756,screen,0.000694
118.797,screen,0.000834
118.839,screen,0.000619
118.882,screen,0.000610
118.922,screen,0.000627
118.965,screen,0.000522
119.003,screen,0.000525
119.044,screen,0.000563
119.084,screen,0.000643
119.123,screen,0.000633
119.162,screen,0.000632
119.204,screen,0.000661
119.247,screen,0.000644
119.282,screen,0.000648
119.324,screen,0.000643
119.364,screen,0.000604
119.403,screen,0.000601
119.444,screen,0.000553
119.483,screen,0.000645
119.522,screen,0.000674
119.563,screen,0.000773
119.601,screen,0.000866
119.645,screen,0.000814
119.683,screen,0.000793
119.728,screen,0.000789
119.765,screen,0.000760
119.806,screen,0.000728
119.846,screen,0.000704
119.886,screen,0.000691
119.927,screen,0.000623
119.967,screen,0.000646
120.008,screen,0.000612
120.047,screen,0.000559
120.084,screen,0.000531
120.123,screen,0.000566
120.163,screen,0.000671
120.205,screen,0.000763
120.246,screen,0.000843
120.283,screen,0.000905
120.324,screen,0.000716
120.368,screen,0.000741
120.410,screen,0.000621
120.447,screen,0.000608
120.488,screen,0.000587
120.529,screen,0.000619
120.568,screen,0.000662
120.597,screen,0.000720
120.632,screen,0.000713
120.668,screen,0.000665
120.699,screen,0.000655
120.734,screen,0.000626
120.769,screen,0.000610
120.799,screen,0.000587
120.833,screen,0.000596
120.866,screen,0.000591
120.900,screen,0.000673
120.934,screen,0.000653
120.968,screen,0.000682
121.000,screen,0.000716
121.034,screen,0.000727
121.067,screen,0.000710
121.100,screen,0.000664
121.131,screen,0.000725
121.166,screen,0.000776
121.199,screen,0.000907
121.232,screen,0.001053
121.265,screen,0.001132
121.297,screen,0.001250
121.331,screen,0.001291
121.365,screen,0.001352
121.399,screen,0.001377
121.433,screen,0.001470
121.465,screen,0.001495
121.499,screen,0.001416
121.533,screen,0.001387
121.567,screen,0.001429
121.600,screen,0.001382
121.635,screen,0.001410
121.666,screen,0.001327
121.701,screen,0.001209
121.733,screen,0.001103
121.766,screen,0.001030
121.800,screen,0.000996
121.833,screen,0.000868
121.865,screen,0.000841
121.899,screen,0.000855
121.932,screen,0.000875
121.965,screen,0.000953
122.000,screen,0.001002
122.033,screen,0.001023
122.064,screen,0.000960
122.100,screen,0.000777
122.134,screen,0.000771
122.166,screen,0.000719
122.198,screen,0.000725
122.234,screen,0.000728
122.266,screen,0.000775
122.299,screen,0.000774
122.332,screen,0.000811
122.366,screen,0.000857
122.398,screen,0.000882
122.435,screen,0.001027
122.466,screen,0.001180
122.501,screen,0.001158
122.532,screen,0.001092
122.567,screen,0.001074
122.598,screen,0.001041
122.633,screen,0.000929
122.666,screen,0.000728
122.699,screen,0.000682
122.733,screen,0.000775
122.765,screen,0.000877
122.799,screen,0.000938
122.833,screen,0.000967
122.867,screen,0.000928
122.899,screen,0.000882
122.933,screen,0.000849
123.514,screen,0.000783
123.548,screen,0.000735
123.582,screen,0.000783
123.615,screen,0.000901
123.646,screen,0.001001
123.685,screen,0.001222
123.713,screen,0.001336
123.746,screen,0.001322
123.779,screen,0.001308
123.814,screen,0.001224
123.847,screen,0.001181
123.879,screen,0.001105
123.912,screen,0.001052
123.946,screen,0.001023
123.974,screen,0.000979
124.012,screen,0.000922
124.047,screen,0.000868
124.079,screen,0.000820
124.113,screen,0.000792
124.138,screen,0.000757
124.661,screen,0.000857
124.698,screen,0.000857
124.729,screen,0.000940
124.763,screen,0.001164
124.797,screen,0.001281
124.830,screen,0.001296
124.863,screen,0.001397
124.897,screen,0.001438
124.930,screen,0.001402
124.964,screen,0.001317
124.996,screen,0.001488
125.031,screen,0.001385
125.065,screen,0.001051
125.096,screen,0.000795
125.130,screen,0.000845
125.163,screen,0.000717
125.196,screen,0.000676
125.230,screen,0.000676
125.263,screen,0.000650
125.297,screen,0.000632
125.330,screen,0.000661
125.363,screen,0.000661
125.398,screen,0.000620
125.429,screen,0.000586
125.465,screen,0.000571
125.495,screen,0.000560
125.530,screen,0.000556
125.564,screen,0.000561
125.598,screen,0.000566
125.630,screen,0.000578
125.664,screen,0.000584
125.697,screen,0.000619
125.730,screen,0.000657
125.763,screen,0.000749
125.799,screen,0.000945
125.829,screen,0.001185
125.863,screen,0.001225
125.896,screen,0.001457
125.928,screen,0.001544
125.961,screen,0.001448
125.991,screen,0.001383
126.433,screen,0.027912
126.463,screen,0.071612
126.499,screen,0.060790
126.536,screen,0.098525
126.568,screen,0.097047
126.603,screen,0.090562
126.635,screen,0.095678
126.670,screen,0.097303
126.704,screen,0.080196
126.736,screen,0.086773
126.770,screen,0.075801
126.804,screen,0.089076
