t_rel_s,label,rms_m
43.760,screen,0.000854
43.805,screen,0.000842
43.841,screen,0.000793
43.885,screen,0.000840
43.922,screen,0.000861
43.961,screen,0.000765
44.006,screen,0.000718
44.042,screen,0.000683
44.084,screen,0.000743
44.125,screen,0.000788
44.162,screen,0.000742
44.204,screen,0.000754
44.242,screen,0.000777
44.285,screen,0.000789
44.324,screen,0.000891
44.363,screen,0.001016
44.405,screen,0.001050
44.442,screen,0.001092
44.488,screen,0.001221
44.525,screen,0.001271
44.566,screen,0.001270
44.605,screen,0.001375
44.644,screen,0.001307
44.688,screen,0.001349
44.725,screen,0.001271
44.766,screen,0.001412
44.808,screen,0.001416
44.845,screen,0.001566
44.890,screen,0.001625
44.925,screen,0.001626
44.969,screen,0.001619
45.009,screen,0.001677
45.046,screen,0.001726
45.090,screen,0.001767
45.125,screen,0.001772
45.170,screen,0.001700
45.208,screen,0.001625
45.245,screen,0.001542
45.291,screen,0.001412
46.773,screen,0.000867
46.808,screen,0.000708
46.851,screen,0.000702
46.891,screen,0.000731
46.936,screen,0.000731
46.975,screen,0.000735
47.012,screen,0.000826
47.055,screen,0.000756
47.093,screen,0.000756
47.138,screen,0.000733
47.175,screen,0.000677
47.220,screen,0.000687
47.257,screen,0.000617
47.296,screen,0.000548
47.339,screen,0.000558
47.376,screen,0.000559
47.418,screen,0.000576
47.459,screen,0.000552
47.494,screen,0.000551
47.540,screen,0.000560
47.576,screen,0.000569
47.618,screen,0.000555
47.658,screen,0.000588
47.696,screen,0.000574
47.738,screen,0.000557
47.778,screen,0.000555
47.822,screen,0.000582
47.856,screen,0.000617
47.895,screen,0.000623
47.940,screen,0.000820
47.974,screen,0.000824
48.022,screen,0.000675
48.057,screen,0.000643
48.096,screen,0.000599
48.141,screen,0.000665
48.174,screen,0.000658
48.214,screen,0.000793
48.256,screen,0.000815
48.295,screen,0.000944
48.337,screen,0.001014
48.898,screen,0.001044
48.941,screen,0.000958
48.979,screen,0.000858
49.020,screen,0.000875
49.063,screen,0.000850
49.101,screen,0.000795
49.144,screen,0.000766
49.183,screen,0.000680
49.224,screen,0.000637
49.264,screen,0.000636
49.305,screen,0.000637
49.343,screen,0.000636
49.384,screen,0.000638
49.424,screen,0.000649
49.464,screen,0.000662
49.506,screen,0.000706
49.545,screen,0.000711
49.587,screen,0.000712
49.624,screen,0.000743
49.665,screen,0.000707
49.707,screen,0.000669
49.746,screen,0.000647
49.785,screen,0.000629
49.826,screen,0.000612
49.865,screen,0.000563
49.905,screen,0.000604
49.944,screen,0.000706
49.983,screen,0.000860
50.027,screen,0.000784
50.067,screen,0.000696
50.105,screen,0.000663
50.148,screen,0.000681
50.187,screen,0.000682
50.225,screen,0.000675
50.262,screen,0.000817
50.300,screen,0.000881
50.343,screen,0.000843
50.383,screen,0.000780
50.423,screen,0.000768
50.463,screen,0.000696
50.506,screen,0.000685
